epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,9,,0.9672350883483887,,
0,19,,0.9644197821617126,,
0,29,,0.9637443423271179,,
0,39,,0.9646225571632385,,
0,49,,0.961053192615509,,
0,59,,0.9431480765342712,,
0,69,,0.9342853426933289,,
0,79,,0.9574598670005798,,
0,89,,0.9483354687690735,,
0,99,,0.9276551008224487,,
0,109,,0.951703667640686,,
0,119,,0.9565985798835754,,
0,129,,0.9169157147407532,,
0,139,,0.9556633234024048,,
0,149,,0.9580963850021362,,
0,159,,0.9421664476394653,,
0,169,,0.9008576273918152,,
0,179,,0.9390140771865845,,
0,189,,0.8852145075798035,,
0,199,,0.944990336894989,,
0,209,,0.9345453977584839,,
0,219,,0.9362110495567322,,
0,229,,0.8860737085342407,,
0,239,,0.935909628868103,,
0,249,,0.8806104063987732,,
0,259,,0.9399935007095337,,
0,269,,0.9224302172660828,,
0,279,,0.8550049066543579,,
0,289,,0.8762711882591248,,
0,299,,0.9268125295639038,,
0,309,,0.913754940032959,,
0,319,,0.9193255305290222,,
0,329,,0.9093605875968933,,
0,339,,0.9144697785377502,,
0,349,,0.9050618410110474,,
0,359,,0.8650689721107483,,
0,369,,0.8749223947525024,,
,0,,,,0.9210641980171204
,1,,,,0.8712471723556519
,2,,,,0.921686589717865
,3,,,,0.9146360754966736
,4,,,,0.8626829981803894
,5,,,,0.8759723901748657
,6,,,,0.9296050667762756
,7,,,,0.9232794642448425
,8,,,,0.8637614846229553
,9,,,,0.8726444244384766
,10,,,,0.8849594593048096
,11,,,,0.8687741756439209
,12,,,,0.9100916385650635
,13,,,,0.9082491397857666
,14,,,,0.8774201273918152
,15,,,,0.865208089351654
,16,,,,0.8995737433433533
,17,,,,0.8504521250724792
,18,,,,0.8991966247558594
,19,,,,0.8425533175468445
,20,,,,0.8472185730934143
,21,,,,0.8996376991271973
,22,,,,0.9070615172386169
,23,,,,0.8514041900634766
,24,,,,0.862903356552124
,25,,,,0.9133286476135254
,26,,,,0.8505457043647766
,27,,,,0.8495842814445496
,28,,,,0.8599451184272766
,29,,,,0.8804141879081726
,30,,,,0.919799268245697
,31,,,,0.9142861366271973
,32,,,,0.9329257607460022
,33,,,,0.8808203339576721
,34,,,,0.9117441177368164
,35,,,,0.9290367960929871
,36,,,,0.9158907532691956
,37,,,,0.8787307143211365
,38,,,,0.8727277517318726
,39,,,,0.8615715503692627
,40,,,,0.8546372652053833
,41,,,,0.9148648977279663
,42,,,,0.9247480034828186
,43,,,,0.9214948415756226
,44,,,,0.9063193202018738
,45,,,,0.8393101692199707
,46,,,,0.9039997458457947
,47,,,,0.8881893157958984
,48,,,,0.8782792687416077
,49,,,,0.8951232433319092
,50,,,,0.8324567675590515
,51,,,,0.8384793996810913
,52,,,,0.8806218504905701
,53,,,,0.8354462385177612
,54,,,,0.8310158252716064
,55,,,,0.8346047401428223
,56,,,,0.9035251140594482
,57,,,,0.8428593873977661
,58,,,,0.9087263345718384
,59,,,,0.8839868903160095
,60,,,,0.9143434166908264
,61,,,,0.8476623892784119
,62,,,,0.8882583975791931
,63,,,,0.9022809267044067
,64,,,,0.9183309078216553
,65,,,,0.9441047310829163
,66,,,,0.9071084856987
,67,,,,0.8382156491279602
,68,,,,0.8282970190048218
,69,,,,0.9078113436698914
,70,,,,0.8580343127250671
,71,,,,0.8411078453063965
,72,,,,0.8509213328361511
,73,,,,0.9114678502082825
,74,,,,0.8382823467254639
,75,,,,0.8430927395820618
,76,,,,0.8324451446533203
,77,,,,0.8158782720565796
,78,,,,0.8915572166442871
,79,,,,0.89076828956604
,80,,,,0.8819899559020996
,81,,,,0.8293476104736328
,82,,,,0.9000445008277893
,83,,,,0.8158143162727356
,84,,,,0.8373415470123291
,85,,,,0.8417078852653503
,86,,,,0.8662348985671997
,87,,,,0.8957183957099915
,88,,,,0.8844220042228699
